"Region","LA_Code","LA_Name","Empl_pop","100EmpPTt","100EmpPT15n","100EmpPT30n","100EmpPT45n","100EmpPT60n","100EmpPT15pct","100EmpPT30pct","100EmpPT45pct","100EmpPT60pct","100EmpCyct","100EmpCyc15n","100EmpCyc30n","100EmpCyc45n","100EmpCyc60n","100EmpCyc15pct","100EmpCyc30pct","100EmpCyc45pct","100EmpCyc60pct","100EmpCart","100EmpCar15n","100EmpCar30n","100EmpCar45n","100EmpCar60n","100EmpCar15pct","100EmpCar30pct","100EmpCar45pct","100EmpCar60pct","500EmpPTt","500EmpPT15n","500EmpPT30n","500EmpPT45n","500EmpPT60n","500EmpPT15pct","500EmpPT30pct","500EmpPT45pct","500EmpPT60pct","500EmpCyct","500EmpCyc15n","500EmpCyc30n","500EmpCyc45n","500EmpCyc60n","500EmpCyc15pct","500EmpCyc30pct","500EmpCyc45pct","500EmpCyc60pct","500EmpCart","500EmpCar15n","500EmpCar30n","500EmpCar45n","500EmpCar60n","500EmpCar15pct","500EmpCar30pct","500EmpCar45pct","500EmpCar60pct","5000EmpPTt","5000EmpPT15n","5000EmpPT30n","5000EmpPT45n","5000EmpPT60n","5000EmpPT15pct","5000EmpPT30pct","5000EmpPT45pct","5000EmpPT60pct","5000EmpCyct","5000EmpCyc15n","5000EmpCyc30n","5000EmpCyc45n","5000EmpCyc60n","5000EmpCyc15pct","5000EmpCyc30pct","5000EmpCyc45pct","5000EmpCyc60pct","5000EmpCart","5000EmpCar15n","5000EmpCar30n","5000EmpCar45n","5000EmpCar60n","5000EmpCar15pct","5000EmpCar30pct","5000EmpCar45pct","5000EmpCar60pct","PS_pop","PSPTt","PSPT15n","PSPT30n","PSPT45n","PSPT60n","PSPT15pct","PSPT30pct","PSPT45pct","PSPT60pct","PSCyct","PSCyc15n","PSCyc30n","PSCyc45n","PSCyc60n","PSCyc15pct","PSCyc30pct","PSCyc45pct","PSCyc60pct","PSCart","PSCar15n","PSCar30n","PSCar45n","PSCar60n","PSCar15pct","PSCar30pct","PSCar45pct","PSCar60pct","SS_pop","SSPTt","SSPT15n","SSPT30n","SSPT45n","SSPT60n","SSPT15pct","SSPT30pct","SSPT45pct","SSPT60pct","SSCyct","SSCyc15n","SSCyc30n","SSCyc45n","SSCyc60n","SSCyc15pct","SSCyc30pct","SSCyc45pct","SSCyc60pct","SSCart","SSCar15n","SSCar30n","SSCar45n","SSCar60n","SSCar15pct","SSCar30pct","SSCar45pct","SSCar60pct","FE_pop","FEPTt","FEPT15n","FEPT30n","FEPT45n","FEPT60n","FEPT15pct","FEPT30pct","FEPT45pct","FEPT60pct","FECyct","FECyc15n","FECyc30n","FECyc45n","FECyc60n","FECyc15pct","FECyc30pct","FECyc45pct","FECyc60pct","FECart","FECar15n","FECar30n","FECar45n","FECar60n","FECar15pct","FECar30pct","FECar45pct","FECar60pct","GP_pop","GPPTt","GPPT15n","GPPT30n","GPPT45n","GPPT60n","GPPT15pct","GPPT30pct","GPPT45pct","GPPT60pct","GPCyct","GPCyc15n","GPCyc30n","GPCyc45n","GPCyc60n","GPCyc15pct","GPCyc30pct","GPCyc45pct","GPCyc60pct","GPCart","GPCar15n","GPCar30n","GPCar45n","GPCar60n","GPCar15pct","GPCar30pct","GPCar45pct","GPCar60pct","Hosp_pop","HospPTt","HospPT15n","HospPT30n","HospPT45n","HospPT60n","HospPT15pct","HospPT30pct","HospPT45pct","HospPT60pct","HospCyct","HospCyc15n","HospCyc30n","HospCyc45n","HospCyc60n","HospCyc15pct","HospCyc30pct","HospCyc45pct","HospCyc60pct","HospCart","HospCar15n","HospCar30n","HospCar45n","HospCar60n","HospCar15pct","HospCar30pct","HospCar45pct","HospCar60pct","Food_pop","FoodPTt","FoodPT15n","FoodPT30n","FoodPT45n","FoodPT60n","FoodPT15pct","FoodPT30pct","FoodPT45pct","FoodPT60pct","FoodCyct","FoodCyc15n","FoodCyc30n","FoodCyc45n","FoodCyc60n","FoodCyc15pct","FoodCyc30pct","FoodCyc45pct","FoodCyc60pct","FoodCart","FoodCar15n","FoodCar30n","FoodCar45n","FoodCar60n","FoodCar15pct","FoodCar30pct","FoodCar45pct","FoodCar60pct","Town_pop","TownPTt","TownPT15n","TownPT30n","TownPT45n","TownPT60n","TownPT15pct","TownPT30pct","TownPT45pct","TownPT60pct","TownCyct","TownCyc15n","TownCyc30n","TownCyc45n","TownCyc60n","TownCyc15pct","TownCyc30pct","TownCyc45pct","TownCyc60pct","TownCart","TownCar15n","TownCar30n","TownCar45n","TownCar60n","TownCar15pct","TownCar30pct","TownCar45pct","TownCar60pct"
"North East","E06000047","County Durham",385949,15,1,3,5,7,64,90,97,98,10,3,9,10,10,92,99,100,100,8,8,9,9,9,99,100,100,100,15,1,5,9,10,51,96,99,99,14,2,5,9,10,67,95,99,100,10,5,10,10,10,95,100,100,100,37,0,0,2,5,4,34,76,93,41,0,0,1,2,6,35,67,84,19,0,4,9,10,31,93,99,100,34323,9,2,9,10,10,92,99,100,100,9,4,10,10,10,98,100,100,100,7,10,10,10,10,100,100,100,100,25884,19,0,3,7,9,29,94,99,99,17,1,3,6,9,50,94,99,100,11,2,10,10,10,92,100,100,100,25375,23,0,2,5,9,20,84,98,99,23,1,2,4,7,40,78,96,99,13,2,9,10,10,78,100,100,100,228722,10,2,8,10,10,86,99,99,100,10,2,8,10,10,94,99,100,100,8,8,10,10,10,99,100,100,100,228722,37,0,0,1,2,4,28,78,97,39,0,0,1,2,8,30,66,93,19,0,3,8,10,25,97,100,100,228722,10,4,9,10,10,89,99,99,100,9,5,9,10,10,92,99,100,100,7,9,10,10,10,100,100,100,100,228722,22,0,1,3,6,24,88,98,99,23,0,1,2,4,35,78,93,98,13,1,6,10,10,72,99,100,100
"North East","E06000005","Darlington",75841,11,2,7,9,9,84,92,95,99,9,7,10,10,10,92,100,100,100,7,9,9,9,9,100,100,100,100,14,1,7,10,10,60,99,99,100,11,3,9,10,10,88,100,100,100,9,8,10,10,10,100,100,100,100,26,0,1,2,6,8,72,98,99,21,0,1,2,3,20,94,100,100,14,1,5,10,10,57,100,100,100,7747,9,2,9,10,10,93,99,99,100,8,6,10,10,10,97,100,100,100,7,10,10,10,10,100,100,100,100,5920,17,0,3,8,10,44,94,99,100,12,2,7,9,10,89,99,100,100,9,4,10,10,10,98,100,100,100,4845,21,0,2,4,8,26,92,98,99,16,1,3,4,5,52,95,100,100,11,2,8,10,10,95,100,100,100,46833,11,2,9,10,10,80,99,99,100,10,4,9,10,10,95,100,100,100,8,8,10,10,10,100,100,100,100,46833,28,0,1,1,3,18,62,96,98,19,0,1,1,1,37,89,100,100,13,1,2,6,10,70,100,100,100,46833,8,6,10,10,10,95,99,99,100,8,8,10,10,10,98,100,100,100,7,10,10,10,10,100,100,100,100,46833,20,0,2,3,8,26,95,99,99,17,0,1,1,2,49,96,100,100,12,1,5,10,10,85,100,100,100
"North East","E06000001","Hartlepool",66813,10,2,6,9,10,81,97,99,99,8,7,10,10,10,98,100,100,100,7,9,9,9,9,100,100,100,100,15,1,7,10,10,52,99,99,99,11,3,9,10,10,92,99,100,100,9,7,10,10,10,100,100,100,100,51,0,0,0,4,0,2,20,91,59,0,0,0,1,0,0,0,61,23,0,3,10,10,0,100,100,100,6841,9,3,10,10,10,91,100,100,100,8,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,5215,18,0,3,6,9,45,91,98,99,12,1,4,6,9,83,100,100,100,9,3,10,10,10,100,100,100,100,4483,19,0,2,3,6,36,96,98,98,14,1,3,3,4,63,99,99,100,10,2,6,10,10,99,100,100,100,41406,11,3,10,10,10,87,99,99,99,9,4,10,10,10,97,100,100,100,8,9,10,10,10,100,100,100,100,41406,26,0,1,1,1,14,66,99,99,19,0,1,1,1,37,91,100,100,14,1,1,6,10,59,100,100,100,41406,8,6,10,10,10,95,99,99,100,8,9,10,10,10,98,100,100,100,7,10,10,10,10,100,100,100,100,41406,22,0,1,3,6,20,94,99,99,18,0,1,1,3,38,99,100,100,13,1,4,10,10,84,100,100,100
"North East","E06000002","Middlesbrough",100620,7,3,8,10,10,93,100,100,100,7,9,10,10,10,100,100,100,100,7,9,9,9,9,100,100,100,100,17,1,4,9,10,40,96,100,100,12,2,8,10,10,78,100,100,100,9,6,10,10,10,100,100,100,100,20,1,4,7,9,30,93,100,100,17,1,4,6,7,46,99,100,100,12,2,8,10,10,80,100,100,100,10813,8,3,10,10,10,96,100,100,100,8,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7876,18,0,4,9,10,23,100,100,100,13,1,8,10,10,83,100,100,100,10,5,10,10,10,100,100,100,100,7458,21,0,2,7,10,13,98,100,100,14,1,5,9,10,67,100,100,100,10,3,10,10,10,100,100,100,100,57709,11,2,9,10,10,80,100,100,100,9,5,10,10,10,99,100,100,100,8,9,10,10,10,100,100,100,100,57709,34,0,0,1,1,0,34,91,100,22,0,1,1,2,8,98,100,100,17,0,2,5,10,20,100,100,100,57709,8,6,10,10,10,96,100,100,100,8,9,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,57709,19,1,3,6,9,29,95,100,100,15,1,3,6,9,55,100,100,100,11,2,10,10,10,88,100,100,100
"North East","E06000048","Northumberland",231564,24,1,2,4,6,52,79,86,91,13,3,7,8,9,80,92,96,98,9,6,8,9,9,91,99,100,100,20,1,5,7,9,51,87,93,95,18,2,5,7,8,66,86,91,95,10,4,9,10,10,87,99,100,100,57,0,0,1,4,1,12,44,65,68,0,0,1,2,2,11,35,59,29,0,2,7,8,14,66,82,91,20093,13,2,7,9,9,78,97,98,99,11,3,7,9,9,91,98,100,100,8,7,10,10,10,98,100,100,100,16655,23,0,3,6,8,33,88,94,95,18,1,3,6,7,58,87,94,98,11,2,8,10,10,87,100,100,100,13655,29,0,1,4,7,23,73,88,94,27,0,2,4,6,41,77,85,90,14,1,7,9,9,70,96,100,100,133681,16,1,6,8,9,67,93,96,97,13,1,5,7,8,81,94,98,99,9,4,9,10,10,95,100,100,100,133681,49,0,0,1,2,4,30,66,78,57,0,0,0,1,8,21,41,71,25,0,2,5,8,20,80,89,93,133681,14,3,8,9,9,81,92,95,96,11,5,8,9,9,85,94,98,99,8,8,10,10,10,95,100,100,100,133681,29,0,1,4,6,19,72,90,93,30,0,1,2,4,37,67,77,86,15,1,6,8,9,64,96,100,100
"North East","E06000003","Redcar and Cleveland",98030,11,1,5,8,9,76,96,99,100,9,4,9,10,10,98,100,100,100,7,8,9,9,9,100,100,100,100,14,1,5,9,10,58,99,100,100,11,2,5,9,10,87,100,100,100,8,5,10,10,10,100,100,100,100,34,0,1,3,6,6,46,80,93,57,0,0,1,3,0,15,28,62,23,0,4,9,10,5,87,100,100,9161,9,2,9,10,10,92,100,100,100,9,4,9,10,10,99,100,100,100,7,9,10,10,10,100,100,100,100,7108,17,0,3,7,9,38,98,100,100,14,1,4,7,9,73,99,100,100,10,3,10,10,10,97,100,100,100,6253,21,0,1,4,8,23,87,100,100,16,1,2,4,7,53,99,100,100,11,1,9,10,10,92,100,100,100,59363,12,1,8,10,10,76,100,100,100,10,2,7,10,10,95,100,100,100,8,7,10,10,10,100,100,100,100,59363,56,0,0,0,1,0,1,22,62,58,0,0,0,1,0,8,28,49,27,0,1,4,7,0,77,100,100,59363,8,5,10,10,10,95,100,100,100,8,7,10,10,10,98,100,100,100,7,10,10,10,10,100,100,100,100,59363,24,0,1,3,6,18,73,98,100,25,0,1,2,4,30,64,94,99,14,1,7,10,10,51,100,100,100
"North East","E06000004","Stockton-on-Tees",141437,12,1,5,9,10,79,94,98,99,9,6,10,10,10,95,100,100,100,7,9,9,9,9,100,100,100,100,16,1,6,9,10,49,97,98,98,12,2,9,10,10,79,100,100,100,9,7,10,10,10,100,100,100,100,29,0,2,6,8,11,60,94,98,20,0,3,6,7,29,89,99,100,13,2,9,10,10,71,100,100,100,14822,10,2,9,10,10,90,100,100,100,9,6,10,10,10,99,100,100,100,8,10,10,10,10,100,100,100,100,10914,17,1,3,8,10,41,97,98,99,13,1,6,10,10,84,99,100,100,10,4,10,10,10,98,100,100,100,9219,30,0,1,4,8,10,57,96,99,22,0,2,7,10,28,85,98,100,14,1,10,10,10,66,100,100,100,80950,14,1,8,10,10,62,98,99,99,11,3,9,10,10,89,100,100,100,9,8,10,10,10,100,100,100,100,80950,40,0,0,1,2,6,36,63,88,29,0,1,1,2,10,57,94,100,18,0,3,7,10,32,100,100,100,80950,9,4,10,10,10,94,99,100,100,8,8,10,10,10,98,100,100,100,7,10,10,10,10,100,100,100,100,80950,22,0,2,5,8,15,90,98,99,17,0,2,5,7,44,98,100,100,12,1,9,10,10,90,100,100,100
"North East","E11000004","Tyne and Wear (Met County)",833767,9,2,7,9,10,83,99,100,100,8,7,10,10,10,99,100,100,100,7,9,9,9,9,100,100,100,100,12,2,9,10,10,75,100,100,100,10,4,10,10,10,94,100,100,100,8,9,10,10,10,100,100,100,100,22,0,3,8,10,20,86,100,100,20,0,3,7,9,32,85,99,100,13,1,9,10,10,71,100,100,100,75014,9,3,10,10,10,95,100,100,100,8,7,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100,56531,15,1,6,10,10,45,100,100,100,12,2,8,10,10,81,100,100,100,10,5,10,10,10,99,100,100,100,55992,18,0,5,9,10,33,96,100,100,14,1,6,9,10,68,97,100,100,11,3,10,10,10,94,100,100,100,498050,9,3,10,10,10,92,100,100,100,9,5,10,10,10,98,100,100,100,8,10,10,10,10,100,100,100,100,498050,28,0,1,2,5,7,62,95,100,23,0,2,3,5,21,80,97,100,15,1,5,10,10,50,100,100,100,498050,8,6,10,10,10,98,100,100,100,8,9,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,498050,19,0,3,7,10,31,92,100,100,12,1,4,7,9,49,97,100,100,12,2,9,10,10,84,100,100,100
"North East","E08000020","     Gateshead",147941,10,2,6,8,10,79,98,99,100,8,6,10,10,10,98,100,100,100,7,9,9,9,9,100,100,100,100,13,1,8,10,10,70,99,100,100,11,2,9,10,10,88,98,100,100,9,7,10,10,10,98,100,100,100,23,0,3,8,10,18,79,99,100,19,1,4,8,10,36,90,98,100,13,2,9,10,10,76,100,100,100,13528,8,4,10,10,10,98,100,100,100,8,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,10068,17,0,4,9,10,37,98,100,100,14,1,7,10,10,75,97,100,100,10,4,10,10,10,97,100,100,100,10175,17,0,4,9,10,33,98,100,100,13,1,7,10,10,84,97,100,100,10,3,10,10,10,97,100,100,100,90605,9,3,10,10,10,93,100,100,100,9,5,10,10,10,99,100,100,100,8,9,10,10,10,100,100,100,100,90605,30,0,1,2,5,7,59,82,99,26,0,2,4,6,23,66,89,100,16,1,6,10,10,49,100,100,100,90605,8,5,10,10,10,99,100,100,100,8,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,90605,23,0,3,7,9,21,79,98,100,19,1,3,8,10,39,88,100,100,13,1,10,10,10,72,100,100,100
"North East","E08000021","     Newcastle upon Tyne",222284,9,3,8,10,10,84,100,100,100,8,8,10,10,10,100,100,100,100,7,9,9,9,9,100,100,100,100,10,2,10,10,10,85,100,100,100,9,6,10,10,10,98,100,100,100,8,10,10,10,10,100,100,100,100,19,1,5,9,10,31,93,100,100,18,1,6,10,10,48,93,100,100,13,2,10,10,10,70,100,100,100,19251,9,3,10,10,10,94,100,100,100,8,8,10,10,10,100,100,100,100,8,10,10,10,10,100,100,100,100,14161,15,1,6,10,10,46,100,100,100,12,2,9,10,10,84,100,100,100,10,4,10,10,10,100,100,100,100,17145,15,1,7,10,10,45,100,100,100,12,2,9,10,10,87,100,100,100,10,5,10,10,10,100,100,100,100,123269,9,3,10,10,10,96,100,100,100,9,6,10,10,10,99,100,100,100,8,10,10,10,10,100,100,100,100,123269,27,0,1,2,5,5,64,99,100,21,0,3,5,6,21,85,99,100,15,1,6,10,10,50,100,100,100,123269,7,7,10,10,10,98,100,100,100,8,9,10,10,10,99,100,100,100,7,10,10,10,10,100,100,100,100,123269,16,1,5,10,10,44,99,100,100,13,1,6,10,10,69,100,100,100,11,3,10,10,10,97,100,100,100
